,gammaE,gammaN,gammaBW,repRate,laserWavelength,laserN,laserPulseEnergy,laserAvgPower,laserHarmonicEff,accElectronE,accAvgCurrent,accLength,accAvgPower,accPeakPower,accElectronN,accGrad,accShuntZ
61,10.0,1000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,520.5463165286895,0.4335844114043712,3.47030877685793,317.06305588985424,539.6496350544837,2706519421999.8203,150.0,160.0
62,10.0,1000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,520.5463165286895,0.4335844114043712,5.205463165286895,97.24113996605077,165.50697004948807,2706519421999.8203,100.0,352.0
63,10.0,1000000000000.0,0.001,1000.0,515.0,4.14553602372835e+21,2.0,2000.0,0.8,520.5463165286895,0.4335844114043712,3.47030877685793,145.02851299296458,246.84233200709582,2706519421999.8203,150.0,352.0
64,10.0,10000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,424.8179150878649,26.040346574140084,4.248179150878649,253.2727913455779,431.0769321114246,162548979863546.1,100.0,160.0
65,10.0,10000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,424.8179150878649,26.040346574140084,2.8321194339190994,339.0712099893521,577.1080904228781,162548979863546.1,150.0,160.0
66,10.0,10000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,424.8179150878649,26.040346574140084,4.248179150878649,159.67451646146054,271.77021395347515,162548979863546.1,100.0,352.0
67,10.0,10000000000000.0,0.001,1000.0,343.0,6.902518719120504e+20,1.0,1000.0,0.4,424.8179150878649,26.040346574140084,2.8321194339190994,198.6737976631761,338.148013185954,162548979863546.1,150.0,352.0
68,10.0,10000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,424.8179150878649,13.020173287070042,4.248179150878649,212.43481431656318,361.5696243671659,81274489931773.05,100.0,160.0
69,10.0,10000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,424.8179150878649,13.020173287070042,2.8321194339190994,298.2332329603373,507.60078267861945,81274489931773.05,150.0,160.0
70,10.0,10000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,424.8179150878649,13.020173287070042,4.248179150878649,118.83653943244582,202.26290620921648,81274489931773.05,100.0,352.0
71,10.0,10000000000000.0,0.001,1000.0,343.0,1.3805037438241009e+21,2.0,2000.0,0.4,424.8179150878649,13.020173287070042,2.8321194339190994,157.83582063416137,268.6407054416954,81274489931773.05,150.0,352.0
72,10.0,10000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,520.5463165286895,8.671688228087424,5.205463165286895,243.59231956288426,414.60051529892576,54130388439996.41,100.0,160.0
73,10.0,10000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,520.5463165286895,8.671688228087424,3.47030877685793,348.7245402220947,593.5383116056629,54130388439996.41,150.0,160.0
74,10.0,10000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,520.5463165286895,8.671688228087424,5.205463165286895,128.90262429829116,219.3956466006672,54130388439996.41,100.0,352.0
75,10.0,10000000000000.0,0.001,1000.0,515.0,2.072768011864175e+21,1.0,1000.0,0.8,520.5463165286895,8.671688228087424,3.47030877685793,176.68999732520496,300.73100855827494,54130388439996.41,150.0,352.0
